Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.327	0	0
FBtr0300738	2350	2179.07	0	0
FBtr0300739	2172	2001.07	2.45034	40.9703
FBtr0300737	2184	2013.07	0.00176745	0.0297293
FBtr0300736	2338	2167.07	0	0
FBtr0078628	2467	2296.07	0	0
FBtr0300740	2479	2308.07	0	0
FBtr0078627	2301	2130.07	0	0
FBtr0300741	2313	2142.07	0	0
FBtr0072762	889	718.15	68.8217	412.972
FBtr0346821	1270	1099.07	3.67098	33.7122
FBtr0331460	900	729.15	0	0
FBtr0303848	5005	4834.07	3.20362	129.4
FBtr0086122	1465	1294.07	0.832348	9
FBtr0335147	3125	2954.07	0	0
FBtr0081459	3019	2848.07	21.7753	518.197
FBtr0305321	6523	6352.07	0	0
FBtr0083716	5665	5494.07	15.5316	713
FBtr0078184	1305	1134.07	0.316593	3
FBtr0081691	765	594.15	0	0
FBtr0085263	1228	1057.07	0.169827	1.5
FBtr0086342	492	321.393	0	0
FBtr0086343	495	324.361	0	0
FBtr0091847	1023	852.07	0.751777	5.35234
FBtr0072393	1393	1222.07	76.7385	783.59
FBtr0343502	867	696.15	0	0
FBtr0343753	3569	3398.07	4.04342	114.805
FBtr0433525	3725	3554.07	0	0
FBtr0113895	961	790.15	22.6421	149.488
FBtr0345179	887	716.15	49.5517	296.512
FBtr0334135	4703	4532.07	0	0
FBtr0334137	4561	4390.07	0.584191	21.4292
FBtr0334141	5321	5150.07	0	0
FBtr0334139	4203	4032.07	0	0
FBtr0334140	5704	5533.07	0	0
FBtr0344148	4894	4723.07	0	0
FBtr0334142	5071	4900.07	0	0
FBtr0334138	5563	5392.07	0	0
FBtr0334136	3862	3691.07	3.97425	122.571
FBtr0085105	995	824.07	4.21167	29
FBtr0346720	2745	2574.07	0	0
FBtr0076089	442	271.424	0	0
FBtr0087500	1417	1246.07	8.74016	91
FBtr0073094	1694	1523.07	5.50066	70.0027
FBtr0073093	1577	1406.07	75.9236	891.997
FBtr0343515	1092	921.07	0	0
FBtr0072451	975	804.07	9.07938	61
FBtr0071607	2252	2081.07	2.93294	51
FBtr0081516	4704	4533.07	0.105606	4
FBtr0300749	931	760.15	3.32515	21.1199
FBtr0346532	1185	1014.07	0	0
FBtr0073076	880	709.15	59.2162	350.88
FBtr0089289	4677	4506.07	0.726328	27.347
FBtr0100448	4590	4419.07	1.48029	54.6584
FBtr0089290	4681	4510.07	0.0109066	0.411011
FBtr0089288	4037	3866.07	9.38246	303.086
FBtr0100447	4417	4246.07	1.21843	43.2282
FBtr0329933	4663	4492.07	1.37778	51.7137
FBtr0336949	2826	2655.07	18.987	421.224
FBtr0088786	1378	1207.07	68.6228	692.118
FBtr0088785	1869	1698.07	14.6054	207.228
FBtr0303077	607	436.258	0	0
FBtr0339716	615	444.258	0	0
FBtr0085459	600	429.258	69.7015	250
FBtr0070973	1218	1047.07	0.228599	2
FBtr0089252	2767	2596.07	0.506769	10.9927
FBtr0334488	2840	2669.07	1.50638	33.5949
FBtr0334489	2902	2731.07	0.886516	20.2301
FBtr0100600	3804	3633.07	4.15666	126.182
